10-1: Standby for Emergency (All units to stay off the air)
10-2: Phone your Barracks (also refers to Cell Phone capability)
10-3: Phone ________
10-4: Cruiser Out of Service
10-5: Cruiser In Service
10-6: What is your Location?
10-7: Return to your Barracks
10-8: Stopping Suspicious Vehicle
10-9: Registration Information Check
10-10: Stolen Check
10-11: License Data
10-12: Any Message for Me
10-13: Radio Test
10-14: Missing or Wanted (M&W)
10-15: Officer in Trouble
10-16: Investigation (Motor Vehicle Accident)
10-17: Clear
10-18: Permission to Leave Patrol
10-22: Cellular Caller/Complaint
