10-0: Use Caution  
10-1: Unable To Copy – Change Location  
10-2: Signal Good  
10-3: Stop Transmitting  
10-4: Acknowledgment (OK)  
10-5: Relay  
10-6: Busy – Standby Unless Urgent  
10-7: Out Of Service  
10-8: In Service  
10-9: Repeat  
10-10: Fight In Progress  
10-11: Dog Case  
10-12: Standby  
10-13: Weather Information – Road Report  
10-14: Prowler Report  
10-15: Civil Disturbance  
10-16: Domestic Disturbance  
10-17: Meet Complainant  
10-18: Quickly  
10-19: Return To  
10-20: Location  
10-21: Telephone  
10-22: Disregard  
10-23: Arrived At Scene  
10-24: Assignment Completed  
10-25: Meet In Person With…  
10-26: Detaining Suspect – Expedite  
10-27: Driver’s License Information  
10-28: Vehicle Registration Information  
10-29: Check For Wanted  
10-30: Unnecessary Use Of Radio  
10-31: Crime In Progress  
10-32: Man With Gun  
10-33: Emergency  
10-34: Riot  
10-35: Major Crime Alert  
10-36: Correct Time  
10-37: (Investigate) Suspicious Vehicle  
10-38: Stop Suspicious Vehicle  
10-39: Urgent – Use Lights & Siren  
10-40: Silent Run – No Lights & Siren  
10-41: Beginning Tour Of Duty  
10-42: Ending Tour Of Duty  
10-43: Information  
10-44: Permission To Leave… For…  
10-45: Animal Carcass At…  
10-46: Assist Motorist  
10-47: Emergency Road Repair At…  
10-48: Traffic Standard Repair At…  
10-49: Traffic Light Out At…  
10-50: Accident (Fatal/Personal Injury/Property Damage)  
10-51: Wrecker Needed  
10-52: Ambulance Needed  
10-53: Road Blocked At…  
10-54: Livestock On Highway  
10-55: Suspected DUI  
10-56: Intoxicated Pedestrian  
10-57: Hit & Run (Fatal/Personal Injury/Property Damage)  
10-58: Direct Traffic  
10-59: Convoy Or Escort  
10-60: Squad In Vicinity  
10-61: Isolate Self For Message  
10-62: Reply To Message  
10-63: Prepare To Make Written Copy  
10-64: Message For Local Delivery  
10-65: Net Message Assignment  
10-66: Message Cancellation  
10-67: Clear For Net Message  
10-68: Dispatch Information  
10-69: Message Received  
10-70: Fire  
10-71: Advise Nature Of Fire  
10-72: Report Progress On Fire  
10-73: Smoke Report  
10-74: Negative  
10-75: In Contact With…  
10-76: En Route…  
10-77: Estimated Time Of Arrival  
10-78: Need Assistance  
10-79: Notify Coroner  
10-80: Chase In Progress  
10-81: Breathalyzer  
10-82: Reserve Lodging  
10-83: Work School Crossing At…  
10-84: If Meeting… Advise ETA  
10-85: Delayed Due To…  
10-86: Officer/Operator On Duty  
10-87: Pickup/Distribute Checks  
10-88: Present Telephone Number Of…  
10-89: Bomb Threat  
10-90: Bank Alarm At…  
10-91: Unnecessary Use Of Radio  
10-92: Improperly Parked Vehicle  
10-93: Blockade  
10-94: Drag Racing  
10-95: Prisoner/Subject In Custody  
10-96: Mental Subject  
10-97: Check (Test) Signal  
10-98: Prison/Jail Break  
10-99: Wanted/Stolen Indication
